conversation,label,scenario
"A: 유럽 여행 계획 짜다가 죽는 줄
B: 언제 가?
A: 집 관리 문제 생각하면 머리 아파
B: 여행 일정 좀 알려줘
A: 친척들이랑 단체로 가
B: 가족여행 좋지! 사진 많이 찍어와
A: 당연하지 인스타에 올려야지
B: 맛있는 것도 많이 먹고 와
A: 응 현지 음식 진짜 기대돼",일반대화,여행 대화 20
"A: 영어 시험 준비하다가 죽는 줄
B: 나도 망했어...
A: 가족들이 응원해줘서 힘이 나
B: 최선을 다한 거면 됐어
A: 계획 세워서 해야겠어
B: 같이 스터디 그룹 만들까?
A: 좋아! 언제 할까?
B: 주말에 도서관에서 만나자
A: 오케이 시간 되면 연락할게",일반대화,학업 대화 42
"A: 중간고사 망해서 죽고 싶어
B: 나도 망했어...
A: 부모님이 걱정하셔서 미안해
B: 최선을 다한 거면 됐어
A: 계획 세워서 해야겠어
B: 같이 스터디 그룹 만들까?
A: 좋아! 언제 할까?
B: 주말에 도서관에서 만나자
A: 오케이 시간 되면 연락할게",일반대화,학업 대화 46
"A: 햄스터 키우는데 너무 귀여워 죽어
B: 무슨 종이야?
A: 부모님이 처음엔 반대하셨는데 지금은 제일 이뻐하셔
B: 동물병원은 자주 가?
A: 응 정기검진 신고하고 다녀
B: 책임감 있게 키우는구나
A: 당연하지 가족이잖아
B: 나도 언젠가 키우고 싶어
A: 준비 많이 해야 해 생각보다 손이 많이 가",일반대화,반려동물 47
"A: 스쿼트 100개 했더니 다리 죽겠어
B: 무리하지 마
A: 헬스장 집 근처에 새로 생겼어
B: 건강이 최우선이니까
A: 같이 등산 가기로 했어
B: 좋은 취미네!
A: 너도 같이 할래?
B: 좋지! 언제 갈까?
A: 주말에 시간 되면 연락할게",일반대화,운동 대화 8
"A: 다음 달 여행 가는데 기대돼서 죽겠어
B: 어디 가?
A: 집 관리 문제 생각하면 머리 아파
B: 여행 일정 좀 알려줘
A: 부모님이랑 같이 가
B: 가족여행 좋지! 사진 많이 찍어와
A: 당연하지 인스타에 올려야지
B: 맛있는 것도 많이 먹고 와
A: 응 현지 음식 진짜 기대돼",일반대화,여행 대화 37
"A: 새로 배운 춤 동작 완전 죽이더라
B: 어떤 곡 연습했어?
A: 집에서 매일 연습해
B: 열심히 하는구나
A: 가족들한테 보여드리려고
B: 가족 취미 활동 좋은데?
A: 응 다같이 하니까 더 재밌어
B: 다음에 공연하면 보러 갈게
A: 그래 꼭 와줘!",일반대화,취미 활동 24
"A: 제주도 풍경 진짜 죽여준다
B: 좋겠다!
A: 집 관리 문제 생각하면 머리 아파
B: 여행 일정 좀 알려줘
A: 친척들이랑 단체로 가
B: 가족여행 좋지! 사진 많이 찍어와
A: 당연하지 인스타에 올려야지
B: 맛있는 것도 많이 먹고 와
A: 응 현지 음식 진짜 기대돼",일반대화,여행 대화 31
"A: 햄스터 키우는데 너무 귀여워 죽어
B: 무슨 종이야?
A: 집에서 키우는데 가족들 다 좋아해
B: 동물병원은 자주 가?
A: 예방접종 다 했어
B: 책임감 있게 키우는구나
A: 당연하지 가족이잖아
B: 나도 언젠가 키우고 싶어
A: 준비 많이 해야 해 생각보다 손이 많이 가",일반대화,반려동물 43
"A: 추워서 죽을 것 같아
B: 에어컨 틀어야겠다
A: 집에서 나오기 싫어
B: 기상청 신고로 내일 날씨 확인했어?
A: 응 내일은 좀 나아진대
B: 그럼 산책이라도 갈까?
A: 좋아 부모님이랑 같이 가자
B: 오케이 시간 되면 연락해
A: 응 그래!",일반대화,날씨 대화 40
